Mês / Ano de Referência;Entidade;UC/CNPJ;Total Repassado
mar/16;SENAI;33.564.543/0001-90;122.383.201
mar/16;SESI;33.641.358/0001-52;175.527.864
mar/16;SENAC;33.469.172/0001-68;202.830.494
mar/16;SESC;33.469.164/0001-11;364.750.091
mar/16;SEBRAE;00.330.854/0001-45;250.966.990
mar/16;EMBRATUR;35.842.428/0001-66;0
mar/16;DPC;852001 / 00001;12.413.229
mar/16;ANAC;122002 / 00001;18.258.660
mar/16;SENAR;37.138.245/0001-90;47.820.863
mar/16;SEST;73.471.989/0001-95;34.955.731
mar/16;SENAT;73.471.963/0001-47;22.512.395
mar/16;SESCOOP;03.087.543/0001-86;24.991.432
mar/16;SDR;420013 / 00001;19.115.041
mar/16;APEX-BR;05.507.500/0001-38;36.272.504
mar/16;ABDI;07.200.966/0001-11;5.196.571
abr/16;FNDE;153173 / 15253;1.528.966.346
abr/16;INCRA;373001 / 37201;109.831.194
abr/16;SENAI;33.564.543/0001-90;119.621.420
abr/16;SESI;33.641.358/0001-52;172.076.300
abr/16;SENAC;33.469.172/0001-68;203.696.264
abr/16;SESC;33.469.164/0001-11;366.728.299
abr/16;SEBRAE;00.330.854/0001-45;247.671.943
abr/16;EMBRATUR;35.842.428/0001-66;0
abr/16;DPC;852001 / 00001;12.767.809
abr/16;ANAC;122002 / 00001;17.381.576
abr/16;SENAR;37.138.245/0001-90;63.908.355
abr/16;SEST;73.471.989/0001-95;36.483.309
abr/16;SENAT;73.471.963/0001-47;23.138.349
abr/16;SESCOOP;03.087.543/0001-86;25.517.130
abr/16;SDR;420013 / 00001;19.349.348
abr/16;APEX-BR;05.507.500/0001-38;35.970.070
abr/16;ABDI;07.200.966/0001-11;5.157.779
mai/16;FNDE;153173 / 15253;1.516.892.712
mai/16;INCRA;373001 / 37201;108.268.397
mai/16;SENAI;33.564.543/0001-90;119.127.791
mai/16;SESI;33.641.358/0001-52;170.318.209
mai/16;SENAC;33.469.172/0001-68;201.282.019
mai/16;SESC;33.469.164/0001-11;362.275.318
mai/16;SEBRAE;00.330.854/0001-45;246.943.494
mai/16;EMBRATUR;35.842.428/0001-66;0
mai/16;DPC;852001 / 00001;12.409.046
mai/16;ANAC;122002 / 00001;19.313.677
mai/16;SENAR;37.138.245/0001-90;79.546.181
mai/16;SEST;73.471.989/0001-95;36.145.029
mai/16;SENAT;73.471.963/0001-47;22.936.647
mai/16;SESCOOP;03.087.543/0001-86;24.740.018
mai/16;SDR;420013 / 00001;19.095.257
mai/16;APEX-BR;05.507.500/0001-38;35.892.379
mai/16;ABDI;07.200.966/0001-11;5.145.673
jun/16;FNDE;153173 / 15253;1.509.666.579
jun/16;INCRA;373001 / 37201;107.413.776
jun/16;SENAI;33.564.543/0001-90;117.979.521
jun/16;SESI;33.641.358/0001-52;169.891.463
jun/16;SENAC;33.469.172/0001-68;201.597.396
jun/16;SESC;33.469.164/0001-11;364.622.706
jun/16;SEBRAE;00.330.854/0001-45;246.925.570
jun/16;EMBRATUR;35.842.428/0001-66;0
jun/16;DPC;852001 / 00001;12.191.203
jun/16;ANAC;122002 / 00001;17.529.922
jun/16;SENAR;37.138.245/0001-90;73.787.196
jun/16;SEST;73.471.989/0001-95;37.319.302
jun/16;SENAT;73.471.963/0001-47;23.522.935
jun/16;SESCOOP;03.087.543/0001-86;24.688.810
jun/16;SDR;420013 / 00001;18.941.515
jun/16;APEX-BR;05.507.500/0001-38;35.886.008
jun/16;ABDI;07.200.966/0001-11;5.145.221
jul/16;FNDE;153173 / 15253;1.508.243.008
jul/16;INCRA;373001 / 37201;107.299.542
jul/16;SENAI;33.564.543/0001-90;117.872.161
jul/16;SESI;33.641.358/0001-52;170.194.629
jul/16;SENAC;33.469.172/0001-68;201.560.599
jul/16;SESC;33.469.164/0001-11;364.791.516
jul/16;SEBRAE;00.330.854/0001-45;246.071.875
jul/16;EMBRATUR;35.842.428/0001-66;0
jul/16;DPC;852001 / 00001;12.461.579
jul/16;ANAC;122002 / 00001;17.073.331
jul/16;SENAR;37.138.245/0001-90;70.333.932
jul/16;SEST;73.471.989/0001-95;36.758.381
jul/16;SENAT;73.471.963/0001-47;23.511.519
jul/16;SESCOOP;03.087.543/0001-86;24.125.101
jul/16;SDR;420013 / 00001;18.923.752
